"Variable","MK_Tau","MK_PValue","Sen_Slope"
"NDVI_Mean",3.504,5e-04,0.0026
"MNDWI_Mean",2.538,0.0112,0.0067
"Precipitation_Mean",-2.325,0.0201,-10.0837
"Temperature_Mean",5.888,0,0.0348
